axis:latitude,axis:longitude,axis:reftime,axis:time,data:VHM0,data:VHM0_SW1,data:VHM0_SW2,data:VHM0_WW,data:VMDR,data:VMDR_SW1,data:VMDR_SW2,data:VMDR_WW,data:VPED,data:VSDX,data:VSDY,data:VTM01_SW1,data:VTM01_SW2,data:VTM01_WW,data:VTM02,data:VTM10,data:VTPK
49.5,-50.5,"2021-09-03T00:00:00","2021-09-03T03:00:00",1.7999999523162842,1.0,0.9899999499320984,0.009999999776482582,64.92000579833984,13.950003623962402,187.1699981689453,52.630001068115234,22.500003814697266,-0.009999999776482582,0.0,7.62999963760376,7.149999618530273,1.3600000143051147,7.96999979019165,9.0,9.569999694824219
49.5,-50.5,"2021-09-03T00:00:00","2021-09-03T06:00:00",1.8199999332427979,0.9899999499320984,0.8199999928474426,0.019999999552965164,54.01000213623047,186.5800018310547,20.0100040435791,68.72000122070312,22.500003814697266,-0.009999999776482582,0.0,7.109999656677246,7.480000019073486,1.5199999809265137,7.960000038146973,9.010000228881836,9.550000190734863
49.5,-50.5,"2021-09-03T00:00:00","2021-09-03T09:00:00",1.7999999523162842,1.0099999904632568,0.6499999761581421,0.04999999701976776,47.720001220703125,345.9700012207031,24.0100040435791,108.8800048828125,337.5,-0.009999999776482582,0.0,7.5,7.37999963760376,1.7699999809265137,7.829999923706055,8.9399995803833,9.399999618530273
49.5,-50.5,"2021-09-03T00:00:00","2021-09-03T12:00:00",1.8199999332427979,1.090000033378601,0.5799999833106995,0.3499999940395355,44.060001373291016,345.5899963378906,25.980003356933594,127.95999908447266,352.5,-0.029999999329447746,0.019999999552965164,7.5,7.299999713897705,2.379999876022339,6.609999656677246,8.679999351501465,9.329999923706055
49.5,-50.5,"2021-09-03T00:00:00","2021-09-03T15:00:00",1.8700000047683716,1.159999966621399,0.5799999833106995,0.4599999785423279,38.93000411987305,345.1600036621094,26.33000373840332,134.38999938964844,352.5,-0.03999999910593033,0.029999999329447746,7.579999923706055,7.389999866485596,2.759999990463257,6.299999713897705,8.479999542236328,9.34000015258789
49.5,-50.5,"2021-09-03T00:00:00","2021-09-03T18:00:00",2.0399999618530273,1.1999999284744263,0.5799999833106995,0.7699999809265137,66.52999877929688,345.5299987792969,26.300003051757812,143.14999389648438,352.5,-0.03999999910593033,0.05999999865889549,7.639999866485596,7.369999885559082,3.4600000381469727,5.75,7.839999675750732,9.4399995803833
49.5,-50.5,"2021-09-03T00:00:00","2021-09-03T21:00:00",2.3399999141693115,1.1699999570846558,0.550000011920929,1.5799999237060547,170.14999389648438,346.2300109863281,26.2600040435791,188.58999633789062,352.5,0.009999999776482582,0.11999999731779099,7.699999809265137,7.319999694824219,4.859999656677246,5.509999752044678,7.239999771118164,9.309999465942383
49.5,-50.5,"2021-09-03T00:00:00","2021-09-04T00:00:00",2.3899998664855957,1.1399999856948853,1.1299999952316284,1.2400000095367432,188.05999755859375,346.8299865722656,192.55999755859375,202.25,352.5,0.03999999910593033,0.10999999940395355,7.739999771118164,6.989999771118164,4.369999885559082,5.690000057220459,7.289999961853027,7.659999847412109
49.5,-50.5,"2021-09-03T00:00:00","2021-09-04T03:00:00",2.319999933242798,1.1100000143051147,1.100000023841858,1.3299999237060547,190.9199981689453,189.35000610351562,347.3699951171875,198.8800048828125,352.5,0.029999999329447746,0.10999999940395355,7.059999942779541,7.739999771118164,4.519999980926514,5.599999904632568,7.239999771118164,7.649999618530273
49.5,-50.5,"2021-09-03T00:00:00","2021-09-04T06:00:00",2.1599998474121094,1.5799999237060547,1.059999942779541,0.75,189.85000610351562,185.35000610351562,347.7799987792969,200.0500030517578,352.5,0.029999999329447746,0.08999999612569809,5.869999885559082,7.779999732971191,3.3899998664855957,5.659999847412109,7.329999923706055,7.649999618530273
49.5,-50.5,"2021-09-03T00:00:00","2021-09-04T09:00:00",2.049999952316284,1.6100000143051147,1.0299999713897705,0.29999998211860657,187.94000244140625,186.22000122070312,348.1000061035156,197.52999877929688,352.5,0.019999999552965164,0.07000000029802322,5.599999904632568,7.769999980926514,2.2300000190734863,5.789999961853027,7.419999599456787,7.649999618530273
49.5,-50.5,"2021-09-03T00:00:00","2021-09-04T12:00:00",2.0199999809265137,1.3700000047683716,0.9899999499320984,0.8799999952316284,187.32000732421875,180.2899932861328,348.5199890136719,194.05999755859375,352.5,0.019999999552965164,0.09999999403953552,6.259999752044678,7.71999979019165,3.6399998664855957,5.460000038146973,7.25,7.609999656677246
49.5,-50.5,"2021-09-03T00:00:00","2021-09-04T15:00:00",2.129999876022339,1.5499999523162842,0.9300000071525574,0.9199999570846558,188.14999389648438,180.27000427246094,348.9599914550781,201.6199951171875,347.9100036621094,0.029999999329447746,0.09999999403953552,6.139999866485596,7.639999866485596,3.75,5.5,7.099999904632568,7.489999771118164
49.5,-50.5,"2021-09-03T00:00:00","2021-09-04T18:00:00",2.059999942779541,1.75,0.8999999761581421,0.29999998211860657,184.7100067138672,183.72999572753906,349.489990234375,214.17999267578125,347.9100036621094,0.019999999552965164,0.07999999821186066,5.779999732971191,7.509999752044678,2.25,5.769999980926514,7.289999961853027,7.599999904632568
49.5,-50.5,"2021-09-03T00:00:00","2021-09-04T21:00:00",1.9799998998641968,1.6999999284744263,0.949999988079071,0.03999999910593033,180.17999267578125,181.49000549316406,355.16998291015625,289.9599914550781,347.9100036621094,0.0,0.05999999865889549,5.829999923706055,7.079999923706055,1.4499999284744263,5.949999809265137,7.409999847412109,7.679999828338623
